1740787200000000,588.07000000,588.27000000,587.08000000,587.09000000,400.66900000,1740787499999999,235373.69231000,2267,138.76100000,81513.67072000,0
1740787500000000,587.09000000,587.78000000,587.09000000,587.16000000,859.74500000,1740787799999999,504909.14209000,1699,620.06200000,364127.52569000,0
1740787800000000,587.16000000,589.45000000,587.10000000,589.45000000,1135.92000000,1740788099999999,667907.34250000,2804,939.49900000,552342.44831000,0
1740788100000000,589.45000000,589.93000000,589.26000000,589.64000000,680.11100000,1740788399999999,401006.23075000,2540,380.46700000,224335.51445000,0
1740788400000000,589.64000000,589.64000000,588.39000000,589.18000000,542.76000000,1740788699999999,319725.80994000,2996,263.80000000,155416.46586000,0
1740788700000000,589.18000000,589.87000000,588.50000000,589.37000000,654.55500000,1740788999999999,385752.45283000,3059,374.26400000,220550.16681000,0
1740789000000000,589.38000000,589.59000000,588.49000000,588.95000000,1295.60000000,1740789299999999,763376.00270000,3923,499.73600000,294441.64817000,0
1740789300000000,588.96000000,589.40000000,588.70000000,588.98000000,1401.40100000,1740789599999999,825397.69699000,2733,191.25100000,112662.39023000,0
1740789600000000,588.97000000,588.97000000,587.71000000,588.17000000,883.41600000,1740789899999999,519630.15363000,2831,441.28000000,259564.78159000,0
1740789900000000,588.16000000,589.16000000,588.16000000,588.88000000,263.63600000,1740790199999999,155191.96064000,2261,153.93800000,90605.56033000,0
1740790200000000,588.89000000,589.00000000,586.79000000,587.09000000,1069.49500000,1740790499999999,628294.42949000,2461,97.08100000,57032.70592000,0
1740790500000000,587.09000000,587.31000000,586.58000000,586.81000000,421.46100000,1740790799999999,247370.93881000,2077,103.68800000,60865.56995000,0
1740790800000000,586.80000000,587.51000000,586.40000000,587.51000000,517.66500000,1740791099999999,303814.07143000,3251,279.88700000,164265.97694000,0
1740791100000000,587.52000000,588.46000000,587.48000000,587.76000000,288.96800000,1740791399999999,169914.62743000,1855,136.99100000,80552.71654000,0
1740791400000000,587.75000000,588.20000000,587.41000000,587.66000000,216.40300000,1740791699999999,127216.62123000,1569,115.27100000,67768.84892000,0
1740791700000000,587.66000000,588.44000000,587.54000000,588.44000000,271.29200000,1740791999999999,159510.20079000,1979,162.65300000,95634.88565000,0
1740792000000000,588.43000000,588.60000000,587.82000000,588.58000000,515.75500000,1740792299999999,303430.59859000,2050,207.16400000,121870.21498000,0
1740792300000000,588.58000000,588.58000000,587.51000000,588.41000000,318.75900000,1740792599999999,187370.69595000,2929,214.19100000,125893.35174000,0
1740792600000000,588.41000000,590.43000000,588.00000000,590.43000000,1673.94600000,1740792899999999,986170.18946000,4961,1237.18500000,729181.66830000,0
1740792900000000,590.43000000,590.90000000,590.22000000,590.90000000,669.30500000,1740793199999999,395315.18711000,2918,339.83300000,200715.94198000,0
1740793200000000,590.90000000,592.64000000,590.90000000,592.28000000,1861.03800000,1740793499999999,1102057.83390000,3989,1163.64800000,688912.57555000,0
1740793500000000,592.28000000,592.88000000,591.82000000,592.86000000,592.66600000,1740793799999999,351187.63497000,3282,447.04600000,264920.94423000,0
1740793800000000,592.87000000,594.78000000,592.80000000,594.50000000,1845.92100000,1740794099999999,1096826.23757000,4487,1255.26700000,745798.85605000,0
1740794100000000,594.50000000,595.31000000,593.85000000,593.91000000,2623.72600000,1740794399999999,1560325.02953000,5659,1675.30800000,996468.91899000,0
1740794400000000,593.91000000,593.91000000,591.17000000,591.30000000,997.74400000,1740794699999999,590764.38748000,5823,309.84200000,183377.31457000,0
1740794700000000,591.30000000,592.00000000,590.83000000,591.99000000,618.83200000,1740794999999999,365945.71150000,2835,455.22100000,269216.84617000,0
1740795000000000,591.99000000,594.20000000,591.98000000,594.06000000,1282.32100000,1740795299999999,760792.85151000,5520,947.81500000,562214.32143000,0
1740795300000000,594.06000000,595.00000000,593.10000000,594.73000000,1803.52400000,1740795599999999,1071422.00139000,4934,1199.64300000,712797.71438000,0
1740795600000000,594.74000000,595.73000000,594.74000000,595.36000000,2104.47100000,1740795899999999,1252609.70834000,6253,1404.75800000,836108.48419000,0
1740795900000000,595.37000000,597.21000000,595.35000000,596.46000000,3083.94200000,1740796199999999,1839165.93684000,7777,2139.58300000,1275943.73052000,0
1740796200000000,596.47000000,598.88000000,595.83000000,598.44000000,2709.81600000,1740796499999999,1618265.75585000,9322,2128.35900000,1271115.13400000,0
1740796500000000,598.43000000,598.58000000,595.86000000,595.93000000,3714.63200000,1740796799999999,2219067.35066000,6382,690.39200000,412429.21577000,0
1740796800000000,595.93000000,596.11000000,594.42000000,595.64000000,3270.20600000,1740797099999999,1946552.21594000,4251,1295.52600000,771065.48661000,0
1740797100000000,595.63000000,595.79000000,594.60000000,594.95000000,1565.46200000,1740797399999999,931835.77361000,3903,510.05000000,303628.15809000,0
1740797400000000,594.95000000,595.12000000,593.16000000,594.50000000,2360.75200000,1740797699999999,1402510.22084000,5387,616.24100000,366340.25445000,0
1740797700000000,594.50000000,594.50000000,593.36000000,593.94000000,2052.85100000,1740797999999999,1218837.34459000,4634,1042.82900000,619112.34687000,0
1740798000000000,593.95000000,594.65000000,593.00000000,593.92000000,2829.38300000,1740798299999999,1679329.23560000,5428,1193.29500000,708166.38633000,0
1740798300000000,593.91000000,593.97000000,591.56000000,591.99000000,3621.19500000,1740798599999999,2144660.19936000,5778,2067.26000000,1224092.09796000,0
1740798600000000,591.99000000,592.40000000,591.80000000,591.81000000,386.76500000,1740798899999999,228991.51410000,2852,227.30100000,134577.61976000,0
